onset	duration	trial_type	condition	response_accuracy	response_time
349.49549751298036	2.5	A	violation	1	0.9760501260170712
352.49545757798484	2.5	B	violation	1	1.1760750429239124
355.49541569990106	2.5	A	nonviolation	0	1.515128290047869
358.4953758529154	2.5	B	violation	0	1.593187663005665
361.49533579999115	2.5	A	violation	1	0.9321811309782788
364.4952950399602	2.5	A	nonviolation	1	0.7562509150011465
367.4952544559492	2.5	A	nonviolation	1	1.0262848159763962
370.4952139289817	2.5	B	nonviolation	0	1.2433257389348
373.4951712139882	2.5	B	violation	1	1.3923666150076317
376.49513313395437	2.5	A	nonviolation	1	0.8634095520246774
379.49509049695916	2.5	A	violation	1	0.8514459639554843
382.4950515809469	2.5	A	violation	1	1.5654956320067868
385.4950110699283	2.5	B	nonviolation	1	1.82352718396578
388.4949699389981	2.5	A	nonviolation	1	1.38358271389734
391.4949300539447	2.5	B	nonviolation	1	1.4126115139806643
394.49489009799436	2.5	A	nonviolation	1	0.8026477589737624
397.49485126091173	2.5	B	violation	1	1.1875936420401558
400.4948065310018	2.5	A	nonviolation	1	0.7447331718867645
403.49476782092825	2.5	A	violation	1	0.7397718320135027
406.47805817797786	2.5	B	violation	1	1.5504830569261685
409.4946866428945	2.5	B	violation	0	1.5638526040129364
412.49464534397697	2.5	B	nonviolation	0	1.618904880946502
415.47794490994414	2.5	B	violation	1	1.1666014840593562
418.47793687495874	2.5	B	violation	0	1.1766070360317826
421.4945238739019	2.5	A	nonviolation	1	0.857030434999615
424.4778158809058	2.5	B	nonviolation	1	0.5827301060780883
427.47777548490564	2.5	B	violation	1	1.0997670150827616
430.4777340639848	2.5	A	violation	1	0.8858917439356446
433.4776968649821	2.5	A	nonviolation	1	1.3138488580007106
436.4776535260026	2.5	A	violation	1	0.8848993139108643
439.4776157710003	2.5	B	nonviolation	0	1.3579377679852769
442.4776005710009	2.5	A	violation	1	1.266962201916613
445.477534454898	2.5	B	nonviolation	0	1.2630390611011535
448.47749337891577	2.5	A	violation	1	0.840051586041227
451.47745238395873	2.5	B	nonviolation	0	1.3241024359595028
454.47741217294237	2.5	A	nonviolation	1	0.96814034297131
457.47737191198405	2.5	A	nonviolation	1	1.6481905529508367
460.47733072098345	2.5	A	violation	1	0.6222255869070068
463.4772946579615	2.5	B	violation	1	1.5242265859851614
466.47724958194885	2.5	A	nonviolation	1	0.9042969050351529
469.4772067639278	2.5	A	violation	1	0.8733404410304502
472.4771682949504	2.5	B	nonviolation	0	1.2403865819796922
475.47712826495984	2.5	B	nonviolation	1	0.9174236159306021
478.47708484600304	2.5	B	nonviolation	n/a	n/a
481.4770442359149	2.5	A	violation	1	1.0745040950132534
484.47700552397873	2.5	B	nonviolation	1	1.2105469279922545
487.47696478897706	2.5	A	violation	1	0.8665930029237643
490.4769241469912	2.5	A	violation	1	0.8186312029138207
493.47688338498114	2.5	A	violation	1	0.9696763559477404
496.47684161295183	2.5	A	nonviolation	1	0.7446286870399491
499.47680216399016	2.5	B	violation	1	1.0737615450052544
502.4767613389995	2.5	B	nonviolation	1	1.1128035309957343
505.47672079189215	2.5	B	violation	1	1.3298346920637414
508.4766799239442	2.5	B	violation	0	0.9848816279554741
511.47664186893957	2.5	A	violation	1	1.1849162389989942
514.4765957099153	2.5	B	nonviolation	0	1.3019614929798993
517.4765578279039	2.5	B	violation	0	0.8839951290283352
520.4765178849922	2.5	B	violation	0	0.7940505678998306
523.4764746238943	2.5	B	violation	1	1.3210863930871708
526.4764339469839	2.5	B	nonviolation	0	0.8421263759955764
529.4763956079261	2.5	B	violation	1	1.1551662749843672
532.4763543169247	2.5	A	violation	1	0.6682132090209052
535.4763145468896	2.5	A	nonviolation	1	1.0463292390340941
538.4762732409872	2.5	B	violation	1	1.3673630749108272
541.4762326088967	2.5	A	nonviolation	1	0.9973603721009568
544.4761917609721	2.5	A	nonviolation	1	1.098261480918154
547.4761530959513	2.5	B	violation	1	0.8264142710249871
550.4761101709446	2.5	A	violation	1	0.8424511819612235
553.4760699449107	2.5	A	nonviolation	1	0.8264958920190111
556.4760292359861	2.5	A	nonviolation	1	0.9005483019864187
559.4759884428931	2.5	B	nonviolation	0	1.2785000300500542
562.4759458058979	2.5	B	violation	1	0.6996215040562674
